ORIGIN,Year,flights,delayed,avg_delay,LATITUDE,LONGITUDE,connections,pct_delayed
BZN,2019,751,241,3.9137466307277626,45.7769,-111.15301,"['LAX', 'SLC', 'ORD', 'SFO', 'DEN', 'MSP', 'EWR', 'ATL', 'SEA', 'LAS', 'IAH', 'PDX', 'LGB', 'DTW', 'AZA']",32.090545938748335
CAE,2019,1374,350,-1.404970760233918,33.93884,-81.11954,"['ATL', 'LGA', 'CLT', 'IAH', 'MIA']",25.47307132459971
CAK,2019,749,231,5.654696132596685,40.91631,-81.44247,"['MCO', 'IAH', 'CLT', 'ORD', 'ATL', 'EWR', 'LGA', 'PHL', 'TPA']",30.8411214953271
CDC,2019,83,24,-0.7349397590361446,37.70097,-113.09858,['SLC'],28.915662650602407
CDV,2019,82,23,-4.048780487804878,60.49183,-145.47765,"['YAK', 'ANC']",28.04878048780488
CHA,2019,847,243,4.4106280193236715,35.03527,-85.20379,"['ATL', 'DTW', 'ORD', 'PHL', 'CLT', 'LGA', 'MSP']",28.689492325855966
CHO,2019,883,340,18.796728971962615,38.13864,-78.45286,"['ORD', 'ATL', 'LGA', 'CLT']",38.50509626274066
CHS,2019,5562,1644,5.324908424908425,32.89865,-80.04051,"['ATL', 'JFK', 'DTW', 'CLT', 'LGA', 'ORD', 'PHL', 'BWI', 'DEN', 'PIT', 'BNA', 'HOU', 'SEA', 'BOS', 'MDW', 'IAH', 'MIA', 'EWR', 'DAL', 'TTN', 'CLE', 'MSP', 'IND', 'LCK']",29.557713052858688
CIU,2019,67,15,-3.984848484848485,46.25075,-84.47239,"['DTW', 'MSP']",22.388059701492537
CLE,2019,5647,1711,5.290445859872611,41.41089,-81.8494,"['SLC', 'LAX', 'MSP', 'JFK', 'LGA', 'ORD', 'MCO', 'MIA', 'MKE', 'IAH', 'BOS', 'DTW', 'MDW', 'TPA', 'AUS', 'BWI', 'CLT', 'DEN', 'SFO', 'MSY', 'PHL', 'LAS', 'PHX', 'BNA', 'EWR', 'SAN', 'ATL', 'JAX', 'SAV', 'ORF', 'MYR', 'CHS', 'VPS', 'SEA', 'DAL']",30.29927395077032
CLT,2019,23252,8758,6.756200157742529,35.21401,-80.94313,"['LGA', 'EWR', 'ORD', 'BNA', 'BHM', 'MCO', 'HSV', 'JFK', 'CHO', 'MCI', 'BOS', 'MSP', 'CHA', 'PHL', 'BTR', 'MSY', 'IND', 'PIT', 'ATL', 'MEM', 'CMH', 'SAN', 'SDF', 'TLH', 'MSN', 'AGS', 'OKC', 'SAT', 'AVL', 'MDT', 'OMA', 'DEN', 'CAE', 'ROC', 'CMI', 'SLC', 'SYR', 'PVD', 'ORF', 'VPS', 'JAX', 'PHX', 'FNT', 'LIT', 'FAY', 'STT', 'TUL', 'RIC', 'BTV', 'LAX', 'ILM', 'SBN', 'HPN', 'TYS', 'PNS', 'SHV', 'TOL', 'ALB', 'SGF', 'MYR', 'MIA', 'DAY', 'CHS', 'CLE', 'PIA', 'PDX', 'DTW', 'BWI', 'MGM', 'GSP', 'IAH', 'SFO', 'TPA', 'DAB', 'PWM', 'GRR', 'SAV', 'AUS', 'LEX', 'FWA', 'BGR', 'BUF', 'MKE', 'EVV', 'GNV', 'MLB', 'MHT', 'MDW', 'TTN', 'XNA', 'EYW', 'SEA', 'LAS', 'SJU', 'DSM', 'CAK', 'ROA', 'DAL', 'SMF', 'RAP', 'STX', 'HOU', 'MOB', 'TUS', 'TVC']",37.66557715465336
CMH,2019,11090,3578,4.15537037037037,39.99799,-82.89188,"['PHL', 'SLC', 'PHX', 'LGA', 'MSP', 'MDW', 'ORD', 'ATL', 'BWI', 'MCO', 'DTW', 'IAH', 'TPA', 'MIA', 'EWR', 'BOS', 'LAX', 'BNA', 'SEA', 'DEN', 'LAS', 'JFK', 'SFO', 'CLT', 'HOU', 'MSY', 'OAK', 'DAL', 'MYR', 'AUS']",32.26330027051398
CMI,2019,389,117,5.63563829787234,40.03925,-88.27806,"['ORD', 'CLT']",30.077120822622106
CNY,2019,73,20,19.420289855072465,38.75496,-109.75484,['DEN'],27.397260273972602
COD,2019,50,16,3.4166666666666665,44.52019,-109.0238,"['DEN', 'ORD', 'SLC']",32.0
COS,2019,1052,394,13.66537342386033,38.80581,-104.70025,"['DEN', 'ORD', 'ATL', 'IAH', 'PHX', 'SLC', 'LAX', 'LAS', 'MSP', 'MCO', 'SAT']",37.452471482889734
COU,2019,464,152,11.51834862385321,33.93884,-81.11954,"['ORD', 'DEN']",32.758620689655174
CPR,2019,112,30,-6.594594594594595,42.90836,-106.46447,"['DEN', 'SLC']",26.785714285714285
CRP,2019,680,178,-1.2930513595166162,27.77036,-97.50122,"['IAH', 'HOU', 'DAL']",26.176470588235297
CSG,2019,276,76,0.11764705882352941,39.99799,-82.89188,['ATL'],27.536231884057973
CWA,2019,337,97,4.875,44.77762,-89.66678,"['DTW', 'ORD', 'MSP']",28.783382789317507
DAB,2019,344,90,1.3657817109144543,29.17992,-81.05806,"['ATL', 'CLT', 'LGA']",26.16279069767442
DAL,2019,8170,2826,3.7101375445746307,32.84711,-96.85177,"['OKC', 'HOU', 'PIT', 'ABQ', 'LGA', 'LAX', 'LBB', 'BOS', 'AUS', 'IND', 'BNA', 'CHS', 'DTW', 'SAN', 'SJC', 'TUL', 'MCI', 'LAS', 'ELP', 'CMH', 'SMF', 'LIT', 'DEN', 'AMA', 'SLC', 'PDX', 'ATL', 'SEA', 'ONT', 'MCO', 'SAT', 'PHX', 'MSY', 'SFO', 'BWI', 'PNS', 'TPA', 'MKE', 'MDW', 'CLT', 'OAK', 'SDF', 'MSP', 'MEM', 'BHM', 'JAX', 'OMA', 'PHL', 'BUR', 'SNA', 'TUS', 'RNO', 'CLE', 'CRP']",34.58996328029376
DAY,2019,1466,470,7.872191011235955,39.90238,-84.21938,"['PHL', 'ATL', 'ORD', 'CLT', 'EWR', 'LGA', 'DTW', 'MSP', 'DEN', 'IAH']",32.06002728512961
DBQ,2019,208,52,6.804123711340206,42.40296,-90.70917,['ORD'],25.0
DEN,2019,26192,10223,8.4048828125,39.85841,-104.667,"['IAH', 'LAX', 'PHX', 'MCO', 'JFK', 'TUL', 'SEA', 'ATL', 'RIC', 'PDX', 'ONT', 'CLE', 'MSP', 'BOS', 'ORD', 'JAX', 'SFO', 'SMF', 'DRO', 'MCI', 'MKE', 'SLC', 'CMH', 'BOI', 'SJC', 'GEG', 'COS', 'MDW', 'LAS', 'SBA', 'HOU', 'JAC', 'DAL', 'AUS', 'LBB', 'SNA', 'BWI', 'BUR', 'GCC', 'EWR', 'LGA', 'RKS', 'SAT', 'SAN', 'RNO', 'ORF', 'PNS', 'BNA', 'TPA', 'RAP', 'LIT', 'IND', 'OKC', 'FAI', 'OAK', 'CLT', 'SHV', 'BFL', 'TYR', 'FSD', 'ABQ', 'BUF', 'HNL', 'DTW', 'SDF', 'OMA', 'ICT', 'TUS', 'PHL', 'MEM', 'SBP', 'HYS', 'DSM', 'FAR', 'MIA', 'BZN', 'XNA', 'ASE', 'MSN', 'FAT', 'IDA', 'COD', 'VEL', 'SAV', 'BIL', 'MSY', 'ELP', 'TYS', 'LAR', 'PSP', 'MRY', 'FCA', 'GRR', 'MOT', 'PIT', 'EGE', 'JMS', 'ANC', 'HDN', 'ALB', 'LIH', 'EUG', 'LNK', 'PUB', 'MSO', 'GSP', 'PWM', 'CPR', 'BHM', 'DAY', 'GJT', 'MFR', 'CNY', 'AVL', 'OGG', 'CHS', 'SGF', 'MMH', 'ACV', 'LGB', 'PVD', 'HSV', 'BFM', 'SYR', 'MDT', 'GTF', 'COU', 'BTV', 'GRB', 'LFT', 'MLI', 'VPS', 'BRO', 'TVC', 'XWA', 'MYR', 'AMA', 'HOB']",39.031001832620646
DHN,2019,134,39,0.05223880597014925,31.32134,-85.44963,['ATL'],29.1044776119403
DLG,2019,10,4,15.5,59.04541,-158.50334,['ANC'],40.0
DLH,2019,477,139,9.606593406593406,46.84209,-92.19365,"['ORD', 'MSP']",29.140461215932913
DRO,2019,206,75,8.61658031088083,37.15152,-107.75377,"['PHX', 'DEN', 'ORD', 'LAX']",36.407766990291265
DSM,2019,1851,573,2.069137168141593,41.53493,-93.66068,"['DTW', 'PHL', 'DEN', 'ORD', 'MSP', 'CLT', 'ATL', 'SLC', 'PHX', 'AZA', 'MCO', 'LGA', 'LAS', 'IAH', 'LAX', 'VPS']",30.956239870340358
DTW,2019,16249,5093,3.963302752293578,42.21206,-83.34884,"['SAN', 'ALB', 'CLT', 'LGA', 'SEA', 'BWI', 'ATL', 'ORD', 'MCO', 'DEN', 'BOS', 'MSN', 'TYS', 'PHX', 'GRR', 'OMA', 'LEX', 'CIU', 'ATW', 'AUS', 'MSP', 'LAX', 'BUF', 'LAS', 'MDW', 'LAN', 'PLN', 'SFO', 'SDF', 'CMH', 'ROC', 'CLE', 'BNA', 'MSY', 'GRB', 'TPA', 'IAH', 'ORF', 'AZO', 'PVD', 'SBN', 'PHL', 'SCE', 'SLC', 'SAT', 'EVV', 'DSM', 'HPN', 'FWA', 'GSP', 'RIC', 'LSE', 'BHM', 'DAY', 'BTV', 'CHS', 'MCI', 'TVC', 'EWR', 'APN', 'PIT', 'MLI', 'ERI', 'MEM', 'CWA', 'MQT', 'MYR', 'SYR', 'MDT', 'JFK', 'ORH', 'IND', 'MKE', 'BGM', 'JAX', 'CHA', 'PDX', 'PWM', 'HSV', 'SAV', 'SMF', 'MIA', 'DAL', 'ESC', 'OKC', 'SNA', 'HNL', 'LIT', 'MHT', 'BGR', 'SJC', 'OAK', 'TTN', 'BZN', 'AVL', 'SJU']",31.343467290294786
DVL,2019,61,15,7.813559322033898,48.11425,-98.90878,"['JMS', 'DEN']",24.59016393442623
EAU,2019,142,36,-2.0,44.86526,-91.48507,['ORD'],25.352112676056336
EGE,2019,233,99,20.104761904761904,39.64257,-106.9177,"['DEN', 'EWR', 'IAH', 'ORD', 'SFO', 'PHX', 'MIA', 'ATL', 'LAX', 'JFK', 'SLC', 'LGA']",42.48927038626609
EKO,2019,66,10,-9.375,40.82493,-115.7917,['SLC'],15.151515151515152
ELP,2019,1860,519,2.791942604856512,31.80667,-106.37781,"['LAS', 'ORD', 'PHX', 'AUS', 'IAH', 'DAL', 'HOU', 'ATL', 'LAX', 'DEN', 'SAN', 'SAT', 'SLC', 'SJC']",27.903225806451616
ERI,2019,144,43,0.7342657342657343,42.08202,-80.17622,"['DTW', 'ORD']",29.86111111111111
ESC,2019,64,24,16.661290322580644,45.72267,-87.09373,['DTW'],37.5
EUG,2019,554,184,5.762430939226519,44.12326,-123.21869,"['DEN', 'SFO', 'LAX', 'ORD', 'LAS', 'PHX', 'AZA', 'SAN', 'SLC', 'SEA', 'OAK']",33.2129963898917
EVV,2019,395,113,2.9250645994832043,38.03799,-87.53063,"['DTW', 'ATL', 'ORD', 'CLT', 'VPS']",28.607594936708864
EWR,2019,13356,5363,13.57237911025145,40.6925,-74.16866,"['MSP', 'SFO', 'TPA', 'CLE', 'ORD', 'ATL', 'SJC', 'CLT', 'OKC', 'MCO', 'BNA', 'LAX', 'MCI', 'AUS', 'JAX', 'DEN', 'DTW', 'IND', 'IAH', 'BUF', 'ALB', 'CAK', 'BOS', 'LAS', 'AVL', 'MDW', 'SAV', 'PIT', 'SDF', 'MIA', 'GRR', 'BGR', 'SEA', 'CHS', 'SNA', 'HNL', 'PHX', 'EGE', 'PVD', 'MKE', 'SAN', 'ROC', 'JAC', 'PDX', 'MSY', 'RIC', 'PWM', 'SYR', 'SJU', 'ORF', 'SLC', 'GSP', 'CMH', 'SAT', 'STT', 'TYS', 'BQN', 'MSN', 'BZN', 'SBN', 'BTV', 'VPS', 'OMA', 'PSP', 'MEM', 'ANC', 'HDN', 'PNS', 'EYW', 'SMF', 'XNA', 'BWI', 'MYR', 'DAY', 'MHT', 'OAK', 'RAP', 'TVC']",40.15423779574723
EYW,2019,553,131,0.5719557195571956,24.55611,-81.75956,"['MIA', 'CLT', 'ATL', 'EWR', 'ORD', 'PHL', 'LGA']",23.688969258589513
FAI,2019,524,96,-7.042226487523992,64.81368,-147.85967,"['ORD', 'ANC', 'MSP', 'SEA', 'SCC', 'SFO', 'DEN']",18.3206106870229
FAR,2019,678,236,13.688073394495413,46.91935,-96.81499,"['MSP', 'DEN', 'LAX', 'AZA', 'LAS', 'ORD', 'ATL', 'PHX']",34.80825958702065
FAT,2019,1342,372,5.978867924528302,36.77619,-119.71814,"['LAX', 'DEN', 'PHX', 'SFO', 'SEA', 'PDX', 'SLC', 'SAN', 'ORD', 'LAS']",27.719821162444113
FAY,2019,348,110,1.717201166180758,34.99147,-78.88,"['CLT', 'ATL']",31.60919540229885
FCA,2019,315,100,-0.358974358974359,48.3114,-114.25507,"['SLC', 'MSP', 'DEN', 'ORD', 'LAS', 'SFO', 'AZA', 'OAK', 'LAX']",31.746031746031743
FLG,2019,142,30,-5.557971014492754,35.13845,-111.67122,['PHX'],21.12676056338028
FNT,2019,472,151,6.710176991150442,42.9655,-83.74346,"['CLT', 'ORD', 'ATL']",31.991525423728813
FSD,2019,767,273,6.2327469553450605,43.58135,-96.7417,"['MSP', 'ORD', 'DEN', 'PHX', 'AZA', 'ATL', 'LAS']",35.59322033898305
FSM,2019,73,18,-1.63013698630137,35.33659,-94.36744,['ATL'],24.65753424657534
FWA,2019,836,269,5.7568238213399505,40.97847,-85.19515,"['ORD', 'ATL', 'CLT', 'DTW', 'MSP', 'AZA', 'MYR']",32.177033492822964
GCC,2019,76,30,14.666666666666666,44.3489,-105.53936,['DEN'],39.473684210526315
GEG,2019,1270,388,2.280701754385965,47.61986,-117.53384,"['OAK', 'DEN', 'SEA', 'LAS', 'MSP', 'SLC', 'SFO', 'SJC', 'BOI', 'PHX', 'SAN', 'ORD', 'PDX', 'SMF']",30.551181102362207
GFK,2019,207,46,-3.2487804878048783,47.94926,-97.17611,"['MSP', 'AZA', 'LAS']",22.22222222222222
GJT,2019,315,82,8.553054662379422,39.12241,-108.52673,"['SLC', 'PHX', 'LAS', 'DEN', 'AZA', 'LAX', 'ORD']",26.031746031746035
GNV,2019,486,148,4.460251046025105,29.69006,-82.27178,"['MIA', 'ATL', 'CLT']",30.45267489711934
