ORIGIN,ORIGIN_CITY,AIRLINE,Year,flights,delayed,avg_delay,LATITUDE,LONGITUDE,connections,pct_delayed
ATL,Atlanta,Delta Air Lines Inc.,2021,18208,5609,0.5832089758470127,33.64044,-84.42694,"['SAN', 'IND', 'VPS', 'JAX', 'MIA', 'AUS', 'CMH', 'CLT', 'PHL', 'MCO', 'MSP', 'ORF', 'BNA', 'MKE', 'ORD', 'DEN', 'CAE', 'ELP', 'LAX', 'DAY', 'TPA', 'SAT', 'SFO', 'TLH', 'HPN', 'PWM', 'BOS', 'MCI', 'OMA', 'LGA', 'SLC', 'JFK', 'MSY', 'SNA', 'PNS', 'MSN', 'LIT', 'MLB', 'MDW', 'IAH', 'SEA', 'EYW', 'BWI', 'EWR', 'CHA', 'SJU', 'MEM', 'SMF', 'JAC', 'CLE', 'SDF', 'DTW', 'SYR', 'SAV', 'DAB', 'LAS', 'TUL', 'ROC', 'PIT', 'EGE', 'OKC', 'LEX', 'PHX', 'ABQ', 'CHS', 'ANC', 'STT', 'TYS', 'XNA', 'RIC', 'GSP', 'AVL', 'HOU', 'BHM', 'ATW', 'HSV', 'ALB', 'HDN', 'PDX', 'GRR', 'SJC', 'MYR', 'GRB', 'AGS', 'MDT', 'DAL', 'ONT', 'TUS', 'BUF', 'HNL', 'PSP', 'PVD', 'ICT', 'GEG', 'DSM', 'RNO', 'RAP', 'GNV', 'ROA', 'BOI', 'BZN', 'STX', 'ILM', 'FSD', 'BGR', 'TVC', 'MOB', 'FCA', 'FAY', 'MSO']",30.805140597539545
ATL,Atlanta,Endeavor Air Inc.,2021,5621,1099,-4.3818376832320345,33.64044,-84.42694,"['BHM', 'TYS', 'BTR', 'GTR', 'SHV', 'ROA', 'AGS', 'HOU', 'LFT', 'MLI', 'MGM', 'HSV', 'XNA', 'LIT', 'EVV', 'GNV', 'FAY', 'SGF', 'GSP', 'AVL', 'OKC', 'CSG', 'AEX', 'MLU', 'ATW', 'CHO', 'ILM', 'TLH', 'FWA', 'CHA', 'CAE', 'SBN', 'VLD', 'MDT', 'MOB', 'LEX', 'DAY', 'SAV', 'ABY', 'DSM', 'TUL', 'BTV', 'GRB', 'VPS', 'HPN', 'MLB', 'ICT', 'MYR', 'CHS', 'BQK', 'DHN', 'MSN', 'LGA', 'FSD', 'EYW', 'MDW', 'SDF', 'ALB', 'RST', 'BUF', 'DAL']",19.551681195516814
ATL,Atlanta,Envoy Air,2021,89,34,5.438202247191011,33.64044,-84.42694,"['MIA', 'ORD', 'CLT']",38.20224719101123
ATL,Atlanta,Frontier Airlines Inc.,2021,525,161,4.498062015503876,33.64044,-84.42694,"['LAS', 'MCO', 'MIA', 'PHL', 'LGA', 'DEN', 'CLE', 'SFO', 'TPA', 'LAX', 'EWR', 'PHX', 'ISP', 'TTN', 'IAH', 'SJU', 'SLC', 'ORD', 'BWI', 'ONT', 'PWM', 'PVD', 'DTW']",30.666666666666664
ATL,Atlanta,JetBlue Airways,2021,264,144,14.44106463878327,33.64044,-84.42694,"['JFK', 'EWR', 'BOS']",54.54545454545454
ATL,Atlanta,Mesa Airlines Inc.,2021,226,48,-5.589285714285714,33.64044,-84.42694,"['IAH', 'ORD']",21.238938053097346
ATL,Atlanta,PSA Airlines Inc.,2021,112,19,-8.054054054054054,33.64044,-84.42694,"['CLT', 'PHL']",16.964285714285715
ATL,Atlanta,Republic Airline,2021,1441,364,0.5708215297450425,33.64044,-84.42694,"['EWR', 'MDT', 'ORD', 'SDF', 'OMA', 'PHL', 'EYW', 'CAE', 'LEX', 'LGA', 'CHS', 'BUF', 'CLT', 'GSP', 'CMH', 'AVL', 'MDW', 'TLH', 'XNA', 'HPN', 'MYR', 'MIA', 'ALB', 'IND']",25.260235947258845
ATL,Atlanta,SkyWest Airlines Inc.,2021,136,27,-7.044776119402985,33.64044,-84.42694,"['DEN', 'IAH', 'ORD']",19.852941176470587
ATL,Atlanta,Southwest Airlines Co.,2021,3026,1129,3.8457393061636913,33.64044,-84.42694,"['MDW', 'MCO', 'PHX', 'CMH', 'IND', 'RIC', 'SDF', 'MYR', 'LGA', 'BWI', 'BNA', 'DAL', 'HOU', 'OMA', 'LAS', 'MKE', 'GSP', 'DEN', 'JAX', 'SAN', 'MSY', 'PHL', 'SAT', 'MIA', 'OKC', 'TPA', 'MEM', 'MCI', 'OAK', 'AUS', 'CLE', 'PIT', 'LIT', 'PNS']",37.30998017184402
ATL,Atlanta,Spirit Air Lines,2021,722,294,6.357954545454546,33.64044,-84.42694,"['ORD', 'MCO', 'LAS', 'PHL', 'MSY', 'DTW', 'IAH', 'EWR', 'CLE', 'LAX', 'TPA', 'DEN', 'BWI', 'AUS', 'ACY', 'MSP', 'MIA']",40.7202216066482
ATL,Atlanta,United Air Lines Inc.,2021,311,129,5.7631578947368425,33.64044,-84.42694,"['EWR', 'DEN', 'ORD', 'IAH']",41.47909967845659
ATW,Appleton,Allegiant Air,2021,39,19,11.743589743589743,44.25741,-88.51948,"['LAS', 'BNA', 'AZA', 'RAP', 'SAV']",48.717948717948715
ATW,Appleton,Delta Air Lines Inc.,2021,41,11,-5.146341463414634,44.25741,-88.51948,['ATL'],26.82926829268293
